code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
ABQ,KABQ,Albuquerque International Sunport,35.037669449999996,-106.61096752176844,5308,http://www.abqsunport.com/,America/Denver,ABQ,US,Albuquerque,New Mexico,Bernalillo County,AP
AGU,MMAS,Aguascalients International Airport,21.701416,-102.31374,6118,https://www.aeropuertosgap.com.mx/es/aguascalientes.html,America/Mexico_City,AGU,MX,Penuelas (El Cienegal),Aguascalientes,Aguascalientes,AP
AMS,EHAM,Amsterdam Airport Schiphol,52.32697895,4.741505200022974,36,http://www.schiphol.nl/,Europe/Amsterdam,AMS,NL,Aalsmeer,North Holland,Gemeente Aalsmeer,AP
ATL,KATL,Hartsfield-Jackson Atlanta International Airport,33.63779875,-84.42927118585675,1049,http://www.atlanta-airport.com/,America/New_York,ATL,US,,,,AP
AUA,TNCA,Reina Beatrix International Airport,12.502222,-70.013885,36,,America/Aruba,AUA,AW,Oranjestad,,,AP
AUS,KAUS,Austin-Bergstrom International Airport,30.19348925,-97.66500963529677,505,http://www.ci.austin.tx.us/austinairport/,America/Chicago,AUS,US,Hornsby Bend,Texas,Travis County,AP
AVL,KAVL,Asheville Regional Airport,35.4364233,-82.54088095049624,2119,,America/New_York,AVL,US,Fletcher,North Carolina,Henderson County,AP
AXA,TQPF,Clayton J. Lloyd International Airport,18.2054832,-63.05608188224072,114,http://www.news.ai/ref/airport.html,America/Anguilla,AXA,AI,The Valley,,,AP
BCN,LEBL,Barcelona-El Prat Airport,41.29694395,2.0790473629813215,22,http://www.aena.es/en/barcelona-airport/index.html,Europe/Madrid,BCN,ES,El Prat de Llobregat,Catalonia,Provincia de Barcelona,AP
BDA,TXKF,L.F. Wade International Airport,32.3616236,-64.66575513844553,19,http://www.bermudaairport.com/,Atlantic/Bermuda,BDA,BM,,,,AP
BDL,KBDL,Bradley International Airport,41.9405835,-72.68501994264602,173,http://www.bradleyairport.com/,America/New_York,BDL,US,Windsor Locks,Connecticut,Hartford County,AP
BGI,TBPB,Grantley Adams International Airport,13.077278799999998,-59.48794597973022,167,http://www.gaia.bb/content/about-gaia-inc,America/Barbados,BGI,BB,,,,AP
BHM,KBHM,Birmingham-Shuttlesworth International Airport,33.5635078,-86.75154126864663,603,http://www.flybirmingham.com/,America/Chicago,BHM,US,Tarrant,Alabama,Jefferson County,AP
BJX,MMLO,Guanajuato International Airport,20.9934103,-101.48120076520438,5925,,America/Mexico_City,BJX,MX,Colonia Nuevo Mexico,Guanajuato,,AP
BNA,KBNA,Nashville International Airport,36.11958985,-86.68308703291842,583,http://www.flynashville.com/,America/Chicago,BNA,US,Nashville,Tennessee,Davidson County,AP
BOG,SKBO,El Dorado International Airport,4.7028947500000005,-74.1487499180044,8382,,America/Bogota,BOG,CO,Funza,Cundinamarca,,AP
BOI,KBOI,Boise Air Terminal (Gowen Field),43.569263,-116.22193,2860,http://www.cityofboise.org/departments/airport/,America/Boise,BOI,US,Boise,Idaho,Ada County,AP
BON,TNCB,Flamingo International Airport,12.133403,-68.27687,55,,America/Kralendijk,BON,BQ,Dorp Tera Kora,Bonaire,,AP
BOS,KBOS,Logan International Airport,42.3629737,-71.01350667543224,29,http://www.massport.com/logan/,America/New_York,BOS,US,Chelsea,Massachusetts,Suffolk County,AP
BUF,KBUF,Buffalo Niagara International Airport,42.9402016,-78.73075229745353,698,http://www.buffaloairport.com,America/New_York,BUF,US,Williamsville,New York,Erie County,AP
BUR,KBUR,Bob Hope Airport,34.2031703,-118.35917241746948,682,http://www.burbankairport.com/,America/Los_Angeles,BUR,US,North Hollywood,California,Los Angeles County,AP
BZE,MZBZ,Philip S.W. Goldson International Airport,17.5392339,-88.30483122697225,22,http://www.pgiabelize.com/,America/Belize,BZE,BZ,,,,AP
CCS,SVMI,Simon Bolivar International Airport,10.60316215,-66.99667670060362,209,http://www.aeropuerto-maiquetia.com.ve/web/,America/Caracas,CCS,VE,Catia La Mar,Vargas,,AP
CDG,LFPG,Charles de Gaulle Airport,49.0068908,2.5710819691019156,337,http://www.aeroportsdeparis.fr/,Europe/Paris,PAR,FR,,,,AP
CHS,KCHS,Charleston International Airport,32.89929845,-80.03946503050427,42,,America/New_York,CHS,US,Hanahan,South Carolina,Berkeley County,AP
CLE,KCLE,Cleveland Hopkins International Airport,41.406618550000005,-81.85120214358412,761,http://www.clevelandairport.com/,America/New_York,CLE,US,Brook Park,Ohio,Cuyahoga County,AP
CLT,KCLT,Charlotte Douglas International Airport,35.21074145,-80.9457435226013,685,http://www.charlotteairport.com/,America/New_York,CLT,US,,,,AP
CMH,KCMH,John Glenn Columbus International Airport,39.99705605,-82.89304061484347,803,https://flycolumbus.com/,America/New_York,CMH,US,Gahanna,Ohio,Franklin County,AP
COS,KCOS,Colorado Springs Airport,38.8004299,-104.70327708699932,6131,https://flycos.coloradosprings.gov/,America/Denver,COS,US,Security-Widefield,Colorado,El Paso County,AP
CUN,MMUN,Cancun International Airport,21.0407394,-86.8818149087711,72,http://www.asur.com.mx/asur/ingles/aeropuertos/cancun/cancun.asp,America/Cancun,CUN,MX,Alfredo V. Bonfil,Quintana Roo,,AP
